index	red ir
0	23626	27118
1	23626	27113
2	23587	27140
3	23627	27058
4	23606	27113
5	23617	27066
6	23600	27100
7	23581	27058
8	23630	27077
9	23567	27066
10	23601	27053
11	23551	27062
12	23617	27033
13	23557	27085
14	23613	27005
15	23563	27062
16	23592	27000
17	23571	27052
18	23594	27002
19	23577	27058
20	23578	27015
21	23602	27061
22	23572	27034
23	23603	27072
24	23567	27060
25	23642	27074
26	23568	27110
27	23615	27095
28	23585	27151
29	23647	27104
30	23606	27172
31	23651	27117
32	23622	27192
33	23658	27136
34	23632	27198
35	23661	27158
36	23656	27192
37	23644	27154
38	23660	27194
39	23617	27167
40	23657	27167
41	23634	27216
42	23676	27154
43	23640	27225
44	23665	27162
45	23657	27208
46	23658	27191
47	23685	27229
48	23633	27199
49	23651	27214
50	23624	27229
51	23703	27193
52	23636	27239
53	23666	27186
54	23637	27261
55	23691	27203
56	23657	27275
57	23699	27196
58	23665	27278
59	23687	27214
60	23666	27276
61	23685	27254
62	23680	27287
63	23675	27265
64	23718	27298
65	23675	27287
66	23700	27312
67	23677	27313
68	23749	27321
69	23679	27363
70	23720	27327
71	23683	27381
72	23738	27316
73	23698	27379
74	23745	27298
75	23700	27392
76	23744	27312
77	23711	27384
78	23743	27328
79	23707	27384
80	23726	27343
81	23743	27392
82	23725	27358
83	23726	27388
84	23706	27378
85	23764	27405
86	23708	27411
87	23743	27382
88	23708	27427
89	23767	27377
90	23713	27442
91	23761	27377
92	23720	27445
93	23753	27374
94	23736	27447
95	23754	27394
96	23727	27447
97	23769	27394
98	23745	27440
99	23756	27410
100	23754	27465
101	23739	27431
102	23783	27460
103	23725	27428
104	23768	27461
105	23729	27443
106	23796	27453
107	23721	27453
108	23775	27420
109	23723	27480
110	23793	27409
111	23746	27485
112	23785	27421
113	23758	27485
114	23786	27434
115	23769	27499
116	23790	27438
117	23757	27492
118	23782	27437
119	23759	27481
120	23750	27414
121	23750	27415
122	23717	27366
123	23759	27351
124	23675	27325
125	23691	27277
126	23669	27285
127	23689	27193
128	23616	27229
129	23660	27143
130	23610	27175
131	23636	27088
132	23612	27147
133	23616	27082
134	23604	27122
135	23598	27064
136	23602	27098
137	23586	27074
138	23608	27091
139	23574	27082
140	23641	27103
141	23566	27091
142	23608	27096
143	23565	27108
144	23638	27085
145	23574	27128
146	23622	27069
147	23589	27142
148	23626	27063
149	23594	27139
150	23615	27065
151	23600	27131
152	23616	27065
153	23598	27125
154	23614	27079
155	23612	27121
156	23601	27086
157	23620	27122
158	23595	27093
159	23614	27129
160	23598	27102
161	23640	27138
162	23647	27145
163	23596	27186
164	23659	27137
165	23622	27220
166	23661	27158
167	23641	27251
168	23672	27200
169	23643	27268
170	23683	27218
171	23664	27299
172	23681	27251
173	23676	27306
174	23684	27272
175	23704	27313
176	23669	27291
177	23694	27331
178	23665	27318
179	23722	27326
180	23662	27320
181	23703	27316
182	23662	27334
183	23731	27318
184	23678	27360
185	23709	27302
186	23678	27366
187	23728	27308
188	23682	27388
189	23729	27306
190	23697	27371
191	23728	27317
192	23695	27382
193	23723	27340
194	23715	27388
195	23726	27345
196	23731	27392
197	23719	27371
198	23733	27402
199	23710	27401
200	23774	27423
201	23719	27429
202	23744	27435
203	23715	27468
204	23776	27431
205	23739	27504
206	23786	27445
207	23755	27526
208	23793	27468
209	23773	27548
210	23818	27502
211	23787	27564
212	23801	27521
213	23811	27583
214	23806	27555
215	23810	27595
216	23796	27575
217	23846	27619
218	23783	27616
219	23831	27582
220	23789	27630
221	23846	27585
222	23803	27641
223	23844	27572
224	23803	27637
225	23844	27568
226	23817	27637
227	23835	27569
228	23807	27619
229	23841	27564
230	23815	27610
231	23822	27586
232	23824	27601
233	23803	27573
234	23848	27593
235	23808	27621
236	23810	27622
237	23797	27583
238	23827	27575
239	23820	27609
240	23829	27614
241	23834	27590
242	23812	27651
243	23855	27616
244	23876	27619
245	23813	27656
246	23854	27606
247	23829	27669
248	23853	27605
249	23830	27660
250	23855	27609
251	23854	27655
252	23839	27616
253	23861	27660
254	23832	27633
255	23852	27658
256	23826	27623
257	23877	27650
258	23802	27652
259	23858	27632
260	23825	27687
261	23862	27631
262	23877	27655
263	23827	27676
264	23854	27614
265	23843	27636
266	23811	27582
267	23846	27594
268	23775	27534
269	23796	27517
270	23723	27499
